id,question_text,test_id
1,Mary likes animals. ___ bought a cat yesterday.,1
2,John gave ___ a newspaper. I read much interesting in it.,1
3,Sara asked me a book. ___ gave it to ___ .,1
10,___ has dropped my camera that’s why I cannot take photos today.,1
11,John was holding ___ in his hand.,1
4,A jeweller add too ___ gold to the alloy.,2
5,There are very ___ computers in our computer sciences room in the school.,2
6,We have sold so ___ shirts today.,2
7,He didn’t have ___ broken glass on his body after crash.,3
8,Did you find ___ information about animals of the Atlantic Ocean?,3
9,Did you get ___ invitations yesterday?,3
